Date	2023年01月06日金曜日 11時57分26秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	4
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
460.848	1.963467
461.200	1.944255
461.553	1.958346
461.905	1.975314
462.257	1.943030
462.609	1.920501
462.961	1.911899
463.314	1.918218
463.666	1.911968
464.018	1.922869
464.370	1.922804
464.722	1.902318
465.074	1.895345
465.426	1.912358
465.777	1.911336
466.129	1.914105
466.481	1.911704
466.833	1.898651
467.184	1.864004
467.536	1.871081
467.888	1.870917
468.239	1.854704
468.591	1.832433
468.943	1.836590
469.294	1.842386
469.646	1.836612
469.997	1.828406
470.348	1.839477
470.700	1.826063
471.051	1.819259
471.402	1.818042
471.754	1.827821
472.105	1.830794
472.456	1.813258
472.807	1.803388
473.158	1.806962
473.509	1.797150
473.860	1.788826
474.211	1.787406
474.562	1.786903
474.913	1.775326
475.264	1.765829
475.615	1.758152
475.966	1.756813
476.316	1.751503
476.667	1.757907
477.018	1.752695
477.368	1.751478
477.719	1.756388
478.070	1.753547
478.420	1.738328
478.771	1.736315
479.121	1.740404
479.472	1.738362
479.822	1.722737
480.172	1.727525
480.523	1.728855
480.873	1.724737
481.223	1.719120
481.573	1.725103
481.924	1.726712
482.274	1.714275
482.624	1.714614
482.974	1.716491
483.324	1.707817
483.674	1.701689
484.024	1.695891
484.374	1.692466
484.724	1.686496
485.073	1.683429
485.423	1.682620
485.773	1.681950
486.123	1.680862
486.472	1.678334
486.822	1.673303
487.172	1.669886
487.521	1.668374
487.871	1.665857
488.220	1.661008
488.570	1.657799
488.919	1.652911
489.268	1.651501
489.618	1.652702
489.967	1.648746
490.316	1.647201
490.666	1.638273
491.015	1.633093
491.364	1.635093
491.713	1.634730
492.062	1.628123
492.411	1.623409
492.760	1.616412
493.109	1.619344
493.458	1.617470
493.807	1.615985
494.156	1.613085
494.505	1.608057
494.853	1.602978
495.202	1.601317
495.551	1.597368
495.900	1.597303
496.248	1.591517
496.597	1.584305
496.945	1.581199
497.294	1.579669
497.642	1.576269
497.991	1.572680
498.339	1.573927
498.688	1.565546
499.036	1.561086
499.384	1.551238
499.732	1.550928
500.081	1.554093
500.429	1.556280
500.777	1.553997
501.125	1.548697
501.473	1.541220
501.821	1.543113
502.169	1.539195
502.517	1.544183
502.865	1.539950
503.213	1.533538
503.561	1.527403
503.908	1.521695
504.256	1.520896
504.604	1.519742
504.952	1.512640
505.299	1.511195
505.647	1.507518
505.994	1.506511
506.342	1.505590
506.689	1.500142
507.037	1.498659
507.384	1.492629
507.732	1.490771
508.079	1.490035
508.426	1.484889
508.774	1.482397
509.121	1.476067
509.468	1.472329
509.815	1.472089
510.162	1.470808
510.509	1.473498
510.856	1.466562
511.203	1.460487
511.550	1.462030
511.897	1.456529
512.244	1.455687
512.591	1.453676
512.938	1.451755
513.284	1.449010
513.631	1.439117
513.978	1.436254
514.324	1.434892
514.671	1.430031
515.018	1.429201
515.364	1.429513
515.711	1.427844
516.057	1.422987
516.403	1.418754
516.750	1.419759
517.096	1.417097
517.443	1.417803
517.789	1.413611
518.135	1.411000
518.481	1.405151
518.827	1.395922
519.173	1.392365
519.519	1.390647
519.865	1.386744
520.211	1.385203
520.557	1.381914
520.903	1.379908
521.249	1.371322
521.595	1.373529
521.941	1.374119
522.287	1.376218
522.632	1.376827
522.978	1.372443
523.324	1.372771
523.669	1.367709
524.015	1.367639
524.360	1.372669
524.706	1.367208
525.051	1.367003
525.397	1.361165
525.742	1.356962
526.087	1.360367
526.433	1.355427
526.778	1.357364
527.123	1.353185
527.468	1.346997
527.813	1.339795
528.158	1.338830
528.504	1.334838
528.849	1.333900
529.193	1.328842
529.538	1.327313
529.883	1.321015
530.228	1.319384
530.573	1.315448
530.918	1.314097
531.263	1.312585
531.607	1.311167
531.952	1.303216
532.296	1.301926
532.641	1.298649
532.986	1.298334
533.330	1.296806
533.675	1.297375
534.019	1.293944
534.363	1.289525
534.708	1.288130
535.052	1.287734
535.396	1.282278
535.741	1.279154
536.085	1.275022
536.429	1.269913
536.773	1.267483
537.117	1.267623
537.461	1.263710
537.805	1.261343
538.149	1.260959
538.493	1.259394
538.837	1.253963
539.181	1.250430
539.524	1.249808
539.868	1.245982
540.212	1.240715
540.556	1.236021
540.899	1.233442
541.243	1.227153
541.586	1.225246
541.930	1.224351
542.273	1.222946
542.617	1.217415
542.960	1.214146
543.304	1.211669
543.647	1.209743
543.990	1.206944
544.333	1.204162
544.677	1.198792
545.020	1.195870
545.363	1.193005
545.706	1.190590
546.049	1.185691
546.392	1.182416
546.735	1.180609
547.078	1.174951
547.421	1.172361
547.764	1.170554
548.106	1.166940
548.449	1.160839
548.792	1.158898
549.135	1.155699
549.477	1.152311
549.820	1.148485
550.162	1.143685
550.505	1.138249
550.847	1.133511
551.190	1.126426
551.532	1.122299
551.875	1.114071
552.217	1.109584
552.559	1.100920
552.901	1.094298
553.244	1.088188
553.586	1.083275
553.928	1.078355
554.270	1.075171
554.612	1.072392
554.954	1.069444
555.296	1.065828
555.638	1.064416
555.980	1.060834
556.322	1.059237
556.663	1.056029
557.005	1.052449
557.347	1.048765
557.689	1.041192
558.030	1.035598
558.372	1.028232
558.713	1.023253
559.055	1.018413
559.396	1.013189
559.738	1.007343
560.079	1.002338
560.421	0.996113
560.762	0.992219
561.103	0.989095
561.444	0.988237
561.786	0.983282
562.127	0.976940
562.468	0.971513
562.809	0.966866
563.150	0.961028
563.491	0.956461
563.832	0.949956
564.173	0.944232
564.514	0.936903
564.855	0.931647
565.195	0.926352
565.536	0.922224
565.877	0.916591
566.218	0.912368
566.558	0.907586
566.899	0.904315
567.239	0.899533
567.580	0.894135
567.920	0.889035
568.261	0.886278
568.601	0.881085
568.941	0.877513
569.282	0.872854
569.622	0.868984
569.962	0.864502
570.302	0.859770
570.643	0.855966
570.983	0.851675
571.323	0.846435
571.663	0.841921
572.003	0.836753
572.343	0.831654
572.683	0.826647
573.022	0.821774
573.362	0.816933
573.702	0.808592
574.042	0.797248
574.381	0.786102
574.721	0.774995
575.061	0.763190
575.400	0.750641
575.740	0.737760
576.079	0.725051
576.419	0.712208
576.758	0.700666
577.097	0.690533
577.437	0.682865
577.776	0.677893
578.115	0.673907
578.454	0.669055
578.794	0.661804
579.133	0.651967
579.472	0.640725
579.811	0.627599
580.150	0.613579
580.489	0.601688
580.828	0.592819
581.167	0.589377
581.505	0.591697
581.844	0.599008
582.183	0.609313
582.522	0.621182
582.860	0.633355
583.199	0.645394
583.538	0.654351
583.876	0.659945
584.215	0.661931
584.553	0.661246
584.891	0.659810
585.230	0.659194
585.568	0.659452
585.906	0.661765
586.245	0.666061
586.583	0.672530
586.921	0.681375
587.259	0.687585
587.597	0.686104
587.935	0.684550
588.273	0.683472
588.611	0.682478
588.949	0.680871
589.287	0.679680
589.625	0.677937
589.963	0.675697
590.300	0.673087
590.638	0.670109
590.976	0.667453
591.313	0.664428
591.651	0.662280
591.989	0.659814
592.326	0.657413
592.664	0.656187
593.001	0.654592
593.338	0.653260
593.676	0.652096
594.013	0.650493
594.350	0.649497
594.687	0.647889
595.025	0.646337
595.362	0.644823
595.699	0.642936
596.036	0.640891
596.373	0.638301
596.710	0.635471
597.047	0.633424
597.384	0.630745
597.720	0.628586
598.057	0.626496
598.394	0.624855
598.731	0.622594
599.067	0.620927
599.404	0.619562
599.741	0.618344
600.077	0.616609
600.414	0.615157
600.750	0.613814
601.087	0.612443
601.423	0.611069
601.759	0.609696
602.096	0.608121
602.432	0.606476
602.768	0.605740
603.104	0.604466
603.440	0.603415
603.776	0.601173
604.112	0.600115
604.448	0.598218
604.784	0.596334
605.120	0.594664
605.456	0.593237
605.792	0.590737
606.128	0.589211
606.463	0.587517
606.799	0.586431
607.135	0.584441
607.470	0.583209
607.806	0.582385
608.142	0.580990
608.477	0.579094
608.812	0.577908
609.148	0.577206
609.483	0.575746
609.819	0.574669
610.154	0.573488
610.489	0.571944
610.824	0.570328
611.159	0.569308
611.494	0.568731
611.830	0.567557
612.165	0.565246
612.500	0.564306
612.834	0.563537
613.169	0.562657
613.504	0.562272
613.839	0.561793
614.174	0.560338
614.509	0.558796
614.843	0.557904
615.178	0.557119
615.512	0.555995
615.847	0.554551
616.182	0.553160
616.516	0.551836
616.850	0.550355
617.185	0.549891
617.519	0.549162
617.853	0.548107
618.188	0.546547
618.522	0.544841
618.856	0.544080
619.190	0.542675
619.524	0.540817
619.858	0.539321
620.192	0.537865
620.526	0.536716
620.860	0.534855
621.194	0.533747
621.528	0.533475
621.862	0.531358
622.195	0.530964
622.529	0.530464
622.863	0.529948
623.196	0.529237
623.530	0.528021
623.864	0.527361
624.197	0.526850
624.530	0.525277
624.864	0.525087
625.197	0.523492
625.531	0.522450
625.864	0.521572
626.197	0.520154
626.530	0.520352
626.863	0.518728
627.196	0.518657
627.529	0.517023
627.862	0.515647
628.195	0.514974
628.528	0.514193
628.861	0.513037
629.194	0.512374
629.527	0.509741
629.860	0.509527
630.192	0.507281
630.525	0.507903
630.858	0.506519
631.190	0.505236
631.523	0.504271
631.855	0.503283
632.188	0.503055
632.520	0.503124
632.852	0.502100
633.185	0.501048
633.517	0.499931
633.849	0.500584
634.182	0.500354
634.514	0.500370
634.846	0.499194
635.178	0.497712
635.510	0.496289
635.842	0.496467
636.174	0.496370
636.506	0.493853
636.837	0.490803
637.169	0.490383
637.501	0.487817
637.833	0.487656
638.164	0.486689
638.496	0.487974
638.828	0.486685
639.159	0.485042
639.491	0.486310
639.822	0.488431
640.154	0.486799
640.485	0.486403
640.816	0.485582
641.147	0.485203
641.479	0.483013
641.810	0.480755
642.141	0.480967
642.472	0.478865
642.803	0.474968
643.134	0.474796
643.465	0.473661
643.796	0.471780
644.127	0.470155
644.458	0.469710
644.789	0.470103
645.119	0.469954
645.450	0.469359
645.781	0.471941
646.111	0.470672
646.442	0.470274
646.773	0.471062
647.103	0.472054
647.433	0.470484
647.764	0.470552
648.094	0.468149
648.425	0.468065
648.755	0.466961
649.085	0.468557
649.415	0.467590
649.745	0.466502
650.075	0.465531
650.405	0.464678
650.735	0.461654
651.065	0.460883
651.395	0.461001
651.725	0.458450
652.055	0.455043
652.385	0.455612
652.715	0.455115
653.044	0.414601
653.374	0.319064
653.704	0.237102
654.033	0.174372
654.363	0.135807
654.692	0.109951
655.022	0.079558
655.351	0.020256
655.680	-0.000000
656.010	-0.000000
656.339	0.009023
656.668	0.047801
656.997	0.104250
657.326	0.172805
657.655	0.229955
657.984	0.289321
658.313	0.369754
658.642	0.426151
658.971	0.458699
659.300	0.453156
659.629	0.453202
659.958	0.450700
660.286	0.447668
660.615	0.446461
660.944	0.445351
661.272	0.444608
661.601	0.445032
661.929	0.442887
662.258	0.440858
662.586	0.437214
662.915	0.436717
663.243	0.435155
663.571	0.434611
663.899	0.433662
664.228	0.431450
664.556	0.429478
664.884	0.428150
665.212	0.426423
665.540	0.427024
665.868	0.429974
666.196	0.430618
666.524	0.430005
666.852	0.433107
667.179	0.434708
667.507	0.432512
667.835	0.431449
668.162	0.431844
668.490	0.432718
668.818	0.427736
669.145	0.427468
669.473	0.428396
669.800	0.425476
670.127	0.424598
670.455	0.425260
670.782	0.425241
671.109	0.424517
671.436	0.423410
671.764	0.424136
672.091	0.422551
672.418	0.420651
672.745	0.419857
673.072	0.418442
673.399	0.417264
673.726	0.417079
674.053	0.415689
674.379	0.415031
674.706	0.414860
675.033	0.413979
675.359	0.413804
675.686	0.414336
676.013	0.412315
676.339	0.410668
676.666	0.409679
676.992	0.409675
677.318	0.409426
677.645	0.406868
677.971	0.406882
678.297	0.406641
678.624	0.405876
678.950	0.406725
679.276	0.407407
679.602	0.406971
679.928	0.406099
680.254	0.404826
680.580	0.406742
680.906	0.407401
681.232	0.407987
681.558	0.407816
681.883	0.406576
682.209	0.406011
682.535	0.404262
682.860	0.404479
683.186	0.403937
683.511	0.403020
683.837	0.400630
684.162	0.398940
684.488	0.398464
684.813	0.397757
685.138	0.397147
685.464	0.398722
685.789	0.399256
686.114	0.397936
686.439	0.396708
686.764	0.396929
687.089	0.396785
687.414	0.395484
687.739	0.395330
688.064	0.395869
688.389	0.392946
688.714	0.392524
689.039	0.393103
689.363	0.392596
689.688	0.392529
690.013	0.391753
690.337	0.391189
690.662	0.390308
690.986	0.388343
691.311	0.388549
691.635	0.386890
691.959	0.386859
692.284	0.385457
692.608	0.385371
692.932	0.385916
693.256	0.386616
693.580	0.386327
693.904	0.385213
694.228	0.385759
694.552	0.386052
694.876	0.385459
695.200	0.384964
695.524	0.385090
695.848	0.384036
696.172	0.383027
696.495	0.383503
696.819	0.383612
697.143	0.382354
697.466	0.380840
697.790	0.379161
698.113	0.380379
698.437	0.378426
698.760	0.377316
699.083	0.375706
699.407	0.374052
699.730	0.374568
700.053	0.372677
700.376	0.371578
700.699	0.372428
701.022	0.370048
701.345	0.369346
701.668	0.368098
701.991	0.368857
702.314	0.370017
702.637	0.368963
702.960	0.370459
703.283	0.372038
703.605	0.371920
