Date	2022年12月21日水曜日 09時26分15秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	2
平均回数	10000
ｽﾑｰｼﾞﾝｸﾞ	0
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
525.742	0.968807
526.087	0.960445
526.433	0.963233
526.778	0.961399
527.123	0.962300
527.468	0.957808
527.813	0.951879
528.158	0.950735
528.504	0.951422
528.849	0.948964
529.193	0.945657
529.538	0.947344
529.883	0.946149
530.228	0.943124
530.573	0.944494
530.918	0.942856
531.263	0.936864
531.607	0.940916
531.952	0.935539
532.296	0.931857
532.641	0.936166
532.986	0.931240
533.330	0.926863
533.675	0.928416
534.019	0.921969
534.363	0.920583
534.708	0.920432
535.052	0.920949
535.396	0.916493
535.741	0.916379
536.085	0.912172
536.429	0.911630
536.773	0.908057
537.117	0.908463
537.461	0.906375
537.805	0.906596
538.149	0.902460
538.493	0.900370
538.837	0.895170
539.181	0.896370
539.524	0.894395
539.868	0.891013
540.212	0.890678
540.556	0.885487
540.899	0.885970
541.243	0.883559
541.586	0.881625
541.930	0.879405
542.273	0.874572
542.617	0.873166
542.960	0.870062
543.304	0.867299
543.647	0.865284
543.990	0.866196
544.333	0.862139
544.677	0.855785
545.020	0.855059
545.363	0.856085
545.706	0.851027
546.049	0.846625
546.392	0.845559
546.735	0.845874
547.078	0.840680
547.421	0.837331
547.764	0.834583
548.106	0.831310
548.449	0.828455
548.792	0.825635
549.135	0.822655
549.477	0.820971
549.820	0.815187
550.162	0.816533
550.505	0.816095
550.847	0.808504
551.190	0.803650
551.532	0.807251
551.875	0.796011
552.217	0.796806
552.559	0.793197
552.901	0.791198
553.244	0.788047
553.586	0.785636
553.928	0.782675
554.270	0.778222
554.612	0.772154
554.954	0.770677
555.296	0.768278
555.638	0.765910
555.980	0.762400
556.322	0.758516
556.663	0.750428
557.005	0.752926
557.347	0.746952
557.689	0.743933
558.030	0.741960
558.372	0.739375
558.713	0.737684
559.055	0.731650
559.396	0.727349
559.738	0.722627
560.079	0.718852
560.421	0.717984
560.762	0.712407
561.103	0.711624
561.444	0.704147
561.786	0.701000
562.127	0.696923
562.468	0.695640
562.809	0.689997
563.150	0.687165
563.491	0.686972
563.832	0.681538
564.173	0.678133
564.514	0.676569
564.855	0.670434
565.195	0.667744
565.536	0.664257
565.877	0.659457
566.218	0.657597
566.558	0.656391
566.899	0.651229
567.239	0.647997
567.580	0.645733
567.920	0.641748
568.261	0.637606
568.601	0.635376
568.941	0.630524
569.282	0.628393
569.622	0.624880
569.962	0.620884
570.302	0.618080
570.643	0.613539
570.983	0.611032
571.323	0.607402
571.663	0.604355
572.003	0.600178
572.343	0.596690
572.683	0.594210
573.022	0.588507
573.362	0.583394
573.702	0.561175
574.042	0.551275
574.381	0.542676
574.721	0.541231
575.061	0.537764
575.400	0.536496
575.740	0.531592
576.079	0.517327
576.419	0.490057
576.758	0.467197
577.097	0.450677
577.437	0.442860
577.776	0.436581
578.115	0.439267
578.454	0.443808
578.794	0.457503
579.133	0.467372
579.472	0.464543
579.811	0.438092
580.150	0.407133
580.489	0.375642
580.828	0.355026
581.167	0.341308
581.505	0.332983
581.844	0.346355
582.183	0.373061
582.522	0.412672
582.860	0.449739
583.199	0.475012
583.538	0.481298
583.876	0.474825
584.215	0.458262
584.553	0.446085
584.891	0.440163
585.230	0.441062
585.568	0.448275
585.906	0.456928
586.245	0.466789
586.583	0.475432
586.921	0.477422
587.259	0.478626
587.597	0.486179
587.935	0.489995
588.273	0.490888
588.611	0.490330
588.949	0.490463
589.287	0.488581
589.625	0.488376
589.963	0.488690
590.300	0.485066
590.638	0.482795
590.976	0.480796
591.313	0.480954
591.651	0.479135
591.989	0.476391
592.326	0.473964
592.664	0.471210
593.001	0.469914
593.338	0.468157
593.676	0.466586
594.013	0.467543
594.350	0.466376
594.687	0.466032
595.025	0.464243
595.362	0.463082
595.699	0.461313
596.036	0.460117
596.373	0.458617
596.710	0.457567
597.047	0.457124
597.384	0.455174
597.720	0.454240
598.057	0.452146
598.394	0.450861
598.731	0.450062
599.067	0.448375
599.404	0.446644
599.741	0.444810
600.077	0.444946
600.414	0.443456
600.750	0.443130
601.087	0.442655
601.423	0.441219
601.759	0.439258
602.096	0.438074
602.432	0.438127
602.768	0.436130
603.104	0.434942
603.440	0.433202
603.776	0.433517
604.112	0.432316
604.448	0.431727
604.784	0.429754
605.120	0.429723
605.456	0.427703
605.792	0.428227
606.128	0.425713
606.463	0.425824
606.799	0.424907
607.135	0.423407
607.470	0.422919
607.806	0.424158
608.142	0.421834
608.477	0.421690
608.812	0.420175
609.148	0.418894
609.483	0.418166
609.819	0.416810
610.154	0.415310
610.489	0.414331
610.824	0.413308
611.159	0.413793
611.494	0.412265
611.830	0.411042
612.165	0.411401
612.500	0.410081
612.834	0.409301
613.169	0.409831
613.504	0.407080
613.839	0.405634
614.174	0.408393
614.509	0.404741
614.843	0.404094
615.178	0.404712
615.512	0.402432
615.847	0.401059
616.182	0.400216
616.516	0.400892
616.850	0.399093
617.185	0.399400
617.519	0.399257
617.853	0.396456
618.188	0.398187
618.522	0.394906
618.856	0.396958
619.190	0.394209
619.524	0.396339
619.858	0.393946
620.192	0.394445
620.526	0.391765
620.860	0.394051
621.194	0.391831
621.528	0.390489
621.862	0.388343
622.195	0.389392
622.529	0.389469
622.863	0.387454
623.196	0.388593
623.530	0.385310
623.864	0.386505
624.197	0.383182
624.530	0.382761
624.864	0.384942
625.197	0.385098
625.531	0.383035
625.864	0.383260
626.197	0.383203
626.530	0.382286
626.863	0.381364
627.196	0.380432
627.529	0.378230
627.862	0.379315
628.195	0.378490
628.528	0.377525
628.861	0.376385
629.194	0.377035
629.527	0.376500
629.860	0.377092
630.192	0.378344
630.525	0.375562
630.858	0.375501
631.190	0.371476
631.523	0.373532
631.855	0.371424
632.188	0.371176
632.520	0.373755
632.852	0.370069
633.185	0.369311
633.517	0.368303
633.849	0.369976
634.182	0.366964
634.514	0.367515
634.846	0.366090
635.178	0.369401
635.510	0.364736
635.842	0.365914
636.174	0.363153
636.506	0.364821
636.837	0.366605
637.169	0.367481
637.501	0.365434
637.833	0.360580
638.164	0.362344
638.496	0.361044
638.828	0.363704
639.159	0.361995
639.491	0.361009
639.822	0.362200
640.154	0.359491
640.485	0.358092
640.816	0.360593
641.147	0.358408
641.479	0.357912
641.810	0.359930
642.141	0.356594
642.472	0.359383
642.803	0.353491
643.134	0.359354
643.465	0.356793
643.796	0.355235
644.127	0.353347
644.458	0.359769
644.789	0.358938
645.119	0.352811
645.450	0.352879
645.781	0.355096
646.111	0.349887
646.442	0.354831
646.773	0.351987
647.103	0.352638
647.433	0.347692
647.764	0.351997
648.094	0.351466
648.425	0.348380
648.755	0.348245
649.085	0.350964
649.415	0.344537
649.745	0.344134
650.075	0.344152
650.405	0.346598
650.735	0.344160
651.065	0.347681
651.395	0.345595
651.725	0.343063
652.055	0.342811
652.385	0.344274
